id,material,quantity,source,carbon_savings,project_location,used_in_project,date_added
90,Geopolymer,493,EarthInnovations,1835.75,New York,No,2023-08-29
91,Hempcrete,532,EarthInnovations,2034.75,Boston,Yes,2023-07-11
92,Bamboo Fiber,342,EarthInnovations,1134.36,Los Angeles,No,2023-04-01
93,Hempcrete,723,EarthInnovations,3414.39,Miami,No,2023-01-15
94,Geopolymer,293,EcoCement Co.,945.78,Boston,No,2023-07-09
95,Rammed Earth,961,GreenBuild Ltd.,2637.19,New York,Yes,2023-10-22
96,Recycled Plastic,338,NatureBricks,872.2,Seattle,Yes,2023-06-13
97,Hempcrete,496,Sustainable Works,1423.06,Los Angeles,No,2023-05-09
98,Recycled Plastic,459,EcoCement Co.,2060.04,Los Angeles,No,2023-05-24
99,Rammed Earth,881,Sustainable Works,2891.86,Houston,No,2023-11-06
100,Recycled Plastic,348,Sustainable Works,760.01,San Francisco,No,2023-12-05
101,Hempcrete,706,PlasticCycle,2281.2,Los Angeles,Yes,2023-12-27
102,Bamboo Fiber,805,PlasticCycle,3597.03,Seattle,Yes,2023-01-04
103,Geopolymer,674,EarthInnovations,3323.94,Chicago,Yes,2023-03-24
104,Bamboo Fiber,599,EarthInnovations,1335.26,Austin,Yes,2023-12-14
105,Bamboo Fiber,933,GreenBuild Ltd.,2947.77,San Francisco,Yes,2023-03-04
106,Geopolymer,858,PlasticCycle,2854.39,Austin,Yes,2023-08-06
107,Bamboo Fiber,565,GreenBuild Ltd.,2261.75,New York,Yes,2023-12-27
108,Hempcrete,151,GreenBuild Ltd.,627.91,Los Angeles,Yes,2023-09-08
109,Hempcrete,874,NatureBricks,4308.08,Boston,No,2023-02-24
110,Straw Bale,251,EcoCement Co.,725.14,Seattle,No,2023-12-02
111,Straw Bale,438,Sustainable Works,1190.33,Houston,Yes,2023-07-06
112,Geopolymer,616,NatureBricks,2165.85,Chicago,No,2023-02-09
113,Bamboo Fiber,544,EarthInnovations,1684.77,New York,Yes,2023-05-31
114,Recycled Plastic,810,Sustainable Works,3057.21,Chicago,No,2023-02-08
115,Straw Bale,315,NatureBricks,873.81,San Francisco,Yes,2023-12-11
116,Recycled Plastic,447,EcoCement Co.,2028.25,Los Angeles,No,2023-04-13
117,Recycled Plastic,540,Sustainable Works,2527.77,Miami,No,2023-02-02
118,Hempcrete,854,GreenBuild Ltd.,1752.68,Seattle,No,2023-06-22
119,Geopolymer,672,PlasticCycle,1386.7,Denver,Yes,2023-07-18
120,Recycled Plastic,233,EcoCement Co.,958.51,San Francisco,No,2023-02-19
121,Hempcrete,781,NatureBricks,3756.07,Seattle,No,2023-11-07
122,Rammed Earth,480,NatureBricks,1720.64,Boston,No,2023-12-03
123,Geopolymer,637,Sustainable Works,2500.96,Seattle,No,2023-02-16
124,Geopolymer,261,EarthInnovations,1143.88,Los Angeles,Yes,2023-01-20
125,Straw Bale,357,NatureBricks,963.55,Chicago,Yes,2023-11-19
126,Bamboo Fiber,783,PlasticCycle,3632.57,Austin,Yes,2023-09-03
127,Recycled Plastic,467,Sustainable Works,2097.26,Austin,No,2023-05-21
128,Hempcrete,880,EarthInnovations,2073.78,Los Angeles,Yes,2023-07-06
129,Straw Bale,593,NatureBricks,2062.94,Los Angeles,Yes,2023-07-29
130,Rammed Earth,607,NatureBricks,2503.56,Chicago,Yes,2023-07-27
131,Straw Bale,470,GreenBuild Ltd.,1054.89,Houston,No,2023-11-27
132,Hempcrete,457,NatureBricks,2248.65,San Francisco,Yes,2023-07-29
133,Recycled Plastic,365,NatureBricks,1719.53,Houston,No,2023-06-29
134,Recycled Plastic,405,EarthInnovations,1409.41,Denver,Yes,2023-04-02
135,Straw Bale,558,PlasticCycle,1828.4,Los Angeles,No,2023-11-02
136,Recycled Plastic,517,NatureBricks,1407.94,Houston,No,2023-02-20
137,Hempcrete,455,NatureBricks,1492.17,New York,No,2023-11-23
138,Bamboo Fiber,420,GreenBuild Ltd.,1932.63,Chicago,Yes,2023-04-20
139,Bamboo Fiber,226,NatureBricks,979.3,Boston,Yes,2023-09-07
140,Straw Bale,651,Sustainable Works,2062.18,Austin,No,2023-09-22
141,Bamboo Fiber,166,GreenBuild Ltd.,652.12,New York,Yes,2023-05-24
142,Geopolymer,836,EcoCement Co.,4067.4,Boston,Yes,2023-05-13
143,Straw Bale,595,EcoCement Co.,2506.61,San Francisco,Yes,2023-09-01
144,Recycled Plastic,551,NatureBricks,2074.67,Denver,No,2023-12-01
145,Hempcrete,835,EarthInnovations,2491.21,Chicago,Yes,2023-04-24
146,Geopolymer,348,Sustainable Works,1734.77,Denver,No,2023-07-06
147,Geopolymer,328,Sustainable Works,886.81,Boston,Yes,2023-07-25
148,Recycled Plastic,203,GreenBuild Ltd.,964.42,Chicago,Yes,2023-10-15
149,Geopolymer,375,Sustainable Works,1682.68,Seattle,Yes,2023-04-05
150,Recycled Plastic,964,Sustainable Works,3900.14,Seattle,No,2023-05-03
151,Rammed Earth,607,NatureBricks,1217.4,Chicago,No,2023-05-26
152,Geopolymer,181,PlasticCycle,735.62,Seattle,No,2023-11-13
153,Geopolymer,535,PlasticCycle,1562.28,Denver,Yes,2023-07-16
154,Straw Bale,754,EarthInnovations,3380.57,San Francisco,Yes,2023-04-02
155,Straw Bale,176,EcoCement Co.,367.96,Austin,Yes,2023-06-19
156,Bamboo Fiber,592,GreenBuild Ltd.,2536.91,Houston,No,2023-03-01
157,Rammed Earth,591,GreenBuild Ltd.,2144.95,Chicago,Yes,2023-01-08
158,Rammed Earth,740,EcoCement Co.,3486.23,Boston,Yes,2023-02-25
159,Geopolymer,511,PlasticCycle,1679.92,San Francisco,Yes,2023-01-13
160,Straw Bale,114,NatureBricks,461.17,New York,Yes,2023-07-19
161,Straw Bale,476,Sustainable Works,1356.01,Denver,Yes,2023-01-19
162,Geopolymer,294,EarthInnovations,590.19,Los Angeles,No,2023-02-16
163,Recycled Plastic,958,NatureBricks,3938.2,San Francisco,No,2023-09-30
164,Straw Bale,599,EcoCement Co.,1469.73,Boston,No,2023-11-30
165,Rammed Earth,150,PlasticCycle,558.98,Chicago,Yes,2023-10-09
166,Rammed Earth,656,Sustainable Works,2962.01,Miami,No,2023-05-29
167,Geopolymer,422,Sustainable Works,1742.42,Houston,No,2023-10-04
168,Hempcrete,656,PlasticCycle,2074.68,Denver,No,2023-06-23
169,Hempcrete,660,NatureBricks,3006.17,Denver,No,2023-07-21
170,Hempcrete,174,Sustainable Works,557.55,Boston,Yes,2023-07-04
171,Hempcrete,435,EarthInnovations,1454.01,Chicago,Yes,2023-04-03
172,Straw Bale,692,Sustainable Works,2474.44,San Francisco,Yes,2023-11-11
173,Straw Bale,474,Sustainable Works,1441.7,New York,Yes,2023-04-26
174,Straw Bale,832,GreenBuild Ltd.,2684.98,Houston,No,2023-11-19
175,Recycled Plastic,998,PlasticCycle,2330.71,Miami,No,2023-07-10
176,Geopolymer,836,NatureBricks,2223.52,Boston,Yes,2023-01-06
177,Straw Bale,732,EarthInnovations,3158.12,Denver,Yes,2023-09-26
178,Geopolymer,454,Sustainable Works,1739.49,Los Angeles,No,2023-04-27
179,Rammed Earth,666,PlasticCycle,2494.49,Miami,Yes,2023-05-20
180,Rammed Earth,821,PlasticCycle,4001.18,Chicago,Yes,2023-02-13
181,Geopolymer,234,EcoCement Co.,771.92,Los Angeles,Yes,2023-04-21
182,Straw Bale,474,PlasticCycle,2205.33,Boston,Yes,2023-07-25
183,Hempcrete,309,PlasticCycle,690.85,Houston,No,2023-10-22
184,Hempcrete,826,Sustainable Works,2450.91,Boston,Yes,2023-04-29
185,Hempcrete,382,EarthInnovations,930.13,Chicago,Yes,2023-08-10
186,Rammed Earth,768,GreenBuild Ltd.,1642.48,Seattle,No,2023-12-13
187,Geopolymer,345,Sustainable Works,1398.57,New York,Yes,2023-02-03
188,Recycled Plastic,984,EcoCement Co.,2772.03,Los Angeles,No,2023-10-30
189,Straw Bale,664,PlasticCycle,2142.22,Austin,Yes,2023-02-02
190,Geopolymer,662,EcoCement Co.,3105.0,San Francisco,Yes,2023-05-07
191,Straw Bale,231,GreenBuild Ltd.,1080.35,Los Angeles,Yes,2023-01-08
192,Straw Bale,435,GreenBuild Ltd.,1397.06,Austin,Yes,2023-04-16
193,Recycled Plastic,694,PlasticCycle,3165.36,San Francisco,Yes,2023-01-16
194,Rammed Earth,644,Sustainable Works,3082.79,Boston,No,2023-07-25
195,Bamboo Fiber,101,EarthInnovations,215.43,Seattle,No,2023-06-23
196,Bamboo Fiber,674,EcoCement Co.,1967.65,Seattle,Yes,2023-02-04
197,Geopolymer,995,Sustainable Works,2271.3,New York,No,2023-11-23
198,Hempcrete,810,EcoCement Co.,3402.65,Denver,Yes,2023-06-25
199,Rammed Earth,144,Sustainable Works,340.42,Chicago,No,2023-11-21
200,Straw Bale,531,PlasticCycle,1090.69,Boston,No,2023-06-12
201,Straw Bale,233,EarthInnovations,507.13,New York,Yes,2023-01-23
202,Rammed Earth,901,NatureBricks,2227.4,Chicago,Yes,2023-03-02
203,Recycled Plastic,877,PlasticCycle,3522.81,Los Angeles,Yes,2023-04-18
204,Rammed Earth,366,PlasticCycle,1464.22,Boston,Yes,2023-05-08
205,Bamboo Fiber,672,EarthInnovations,2736.42,Denver,Yes,2023-08-29
206,Hempcrete,456,NatureBricks,1255.58,Chicago,No,2023-02-05
207,Straw Bale,340,EcoCement Co.,966.14,Los Angeles,No,2023-02-27
208,Straw Bale,749,EcoCement Co.,2133.39,Chicago,Yes,2023-12-09
209,Bamboo Fiber,226,PlasticCycle,1060.44,Denver,Yes,2023-11-02
210,Rammed Earth,620,EcoCement Co.,1818.59,Houston,Yes,2023-01-06
211,Straw Bale,181,GreenBuild Ltd.,758.71,New York,No,2023-04-04
212,Hempcrete,639,NatureBricks,2940.78,Austin,No,2023-07-10
213,Hempcrete,115,GreenBuild Ltd.,450.16,Chicago,Yes,2023-02-25
214,Geopolymer,491,EcoCement Co.,1719.41,Austin,Yes,2023-03-12
215,Hempcrete,864,EarthInnovations,2828.5,Denver,Yes,2023-02-24
216,Hempcrete,723,NatureBricks,1646.14,Boston,No,2023-03-18
217,Recycled Plastic,249,Sustainable Works,972.27,Denver,No,2023-03-30
218,Rammed Earth,457,EcoCement Co.,1126.56,New York,No,2023-03-11
219,Geopolymer,321,EarthInnovations,796.07,San Francisco,No,2023-08-06
220,Geopolymer,464,EarthInnovations,959.05,Chicago,No,2023-01-30
221,Geopolymer,531,EarthInnovations,2143.13,Boston,Yes,2023-12-20
222,Hempcrete,656,EarthInnovations,2479.36,San Francisco,No,2023-08-01
223,Rammed Earth,261,EcoCement Co.,526.08,Houston,Yes,2023-03-01
224,Geopolymer,755,NatureBricks,2368.38,San Francisco,Yes,2023-10-02
225,Recycled Plastic,455,EarthInnovations,1437.13,Denver,Yes,2023-10-04
226,Geopolymer,219,EcoCement Co.,1079.34,Chicago,Yes,2023-04-30
227,Straw Bale,409,Sustainable Works,1009.31,Miami,No,2023-12-06
228,Geopolymer,323,PlasticCycle,703.84,Houston,No,2023-01-19
229,Recycled Plastic,174,NatureBricks,500.59,San Francisco,Yes,2023-05-16
230,Bamboo Fiber,941,NatureBricks,3834.78,Chicago,Yes,2023-09-02
231,Bamboo Fiber,367,PlasticCycle,1387.55,Houston,Yes,2023-08-05
232,Bamboo Fiber,248,NatureBricks,735.36,Boston,Yes,2023-05-14
233,Recycled Plastic,460,Sustainable Works,1159.87,Seattle,Yes,2023-03-31
234,Geopolymer,293,Sustainable Works,1098.97,Seattle,No,2023-06-05
235,Bamboo Fiber,759,NatureBricks,2750.88,Denver,No,2023-06-11
236,Rammed Earth,665,NatureBricks,2830.91,Seattle,No,2023-09-28
237,Bamboo Fiber,223,PlasticCycle,1035.79,Seattle,Yes,2023-10-13
238,Recycled Plastic,449,NatureBricks,2055.33,San Francisco,Yes,2023-05-04
239,Hempcrete,961,NatureBricks,4736.34,Houston,No,2023-12-19
240,Bamboo Fiber,867,GreenBuild Ltd.,2150.54,Austin,No,2023-02-14
241,Rammed Earth,588,EarthInnovations,1285.05,Seattle,No,2023-12-16
242,Bamboo Fiber,253,Sustainable Works,887.22,Austin,Yes,2023-09-11
243,Hempcrete,698,EcoCement Co.,2638.89,San Francisco,No,2023-11-27
244,Hempcrete,153,NatureBricks,545.99,Houston,Yes,2023-11-14
245,Bamboo Fiber,476,PlasticCycle,1032.06,Boston,Yes,2023-06-14
246,Hempcrete,638,PlasticCycle,2180.68,Seattle,No,2023-07-14
247,Bamboo Fiber,774,PlasticCycle,2562.51,Austin,Yes,2023-07-06
248,Geopolymer,756,Sustainable Works,1720.0,Los Angeles,Yes,2023-05-11
249,Geopolymer,173,EarthInnovations,747.41,San Francisco,Yes,2023-06-14
250,Bamboo Fiber,968,GreenBuild Ltd.,4159.32,Denver,No,2023-11-16
251,Geopolymer,348,NatureBricks,810.05,Houston,No,2023-07-10
252,Hempcrete,797,GreenBuild Ltd.,2329.07,Houston,Yes,2023-02-10
253,Recycled Plastic,667,EcoCement Co.,1554.41,Miami,No,2023-08-23
254,Hempcrete,841,PlasticCycle,3195.94,San Francisco,Yes,2023-01-05
255,Geopolymer,604,PlasticCycle,2094.01,Austin,No,2023-04-20
256,Rammed Earth,222,Sustainable Works,882.37,Boston,Yes,2023-04-20
257,Geopolymer,383,EcoCement Co.,1249.42,New York,No,2023-10-08
258,Bamboo Fiber,951,Sustainable Works,3711.22,New York,Yes,2023-05-11
259,Straw Bale,544,NatureBricks,1996.8,Miami,No,2023-04-28
260,Straw Bale,965,EcoCement Co.,3721.13,Los Angeles,No,2023-05-22
261,Bamboo Fiber,746,EarthInnovations,2243.97,Los Angeles,No,2023-06-28
262,Rammed Earth,350,GreenBuild Ltd.,1282.46,Miami,No,2023-08-31
263,Bamboo Fiber,506,NatureBricks,1049.51,San Francisco,No,2023-03-24
264,Geopolymer,297,GreenBuild Ltd.,1213.03,Chicago,Yes,2023-05-10
265,Geopolymer,605,PlasticCycle,2971.27,Los Angeles,No,2023-10-14
266,Geopolymer,827,Sustainable Works,3614.9,Houston,Yes,2023-03-10
267,Straw Bale,443,EcoCement Co.,1768.98,Miami,No,2023-04-08
268,Rammed Earth,844,Sustainable Works,2838.25,Denver,No,2023-09-22
269,Bamboo Fiber,916,EcoCement Co.,2143.88,New York,Yes,2023-07-28
270,Recycled Plastic,750,Sustainable Works,3274.81,Houston,No,2023-07-13
271,Geopolymer,437,NatureBricks,1912.88,Seattle,No,2023-08-25
272,Straw Bale,378,GreenBuild Ltd.,1080.67,San Francisco,No,2023-01-17
273,Rammed Earth,638,EarthInnovations,2553.81,Austin,Yes,2023-08-01
274,Hempcrete,254,Sustainable Works,584.26,Boston,No,2023-01-23
275,Hempcrete,802,Sustainable Works,2134.48,Boston,Yes,2023-12-02
276,Rammed Earth,704,NatureBricks,3391.03,Denver,No,2023-03-26
277,Straw Bale,323,EarthInnovations,748.0,Houston,Yes,2023-04-30
278,Straw Bale,468,NatureBricks,2068.92,Boston,Yes,2023-01-03
279,Geopolymer,718,NatureBricks,1718.97,Chicago,Yes,2023-03-06
280,Recycled Plastic,757,GreenBuild Ltd.,3086.97,San Francisco,No,2023-08-18
281,Rammed Earth,717,PlasticCycle,2702.01,Los Angeles,No,2023-12-28
282,Hempcrete,788,PlasticCycle,1683.41,Austin,Yes,2023-10-23
283,Hempcrete,373,EarthInnovations,811.05,Boston,Yes,2023-05-21
284,Rammed Earth,232,PlasticCycle,1106.4,Houston,Yes,2023-10-09
285,Bamboo Fiber,262,Sustainable Works,849.72,Denver,No,2023-07-12
286,Straw Bale,744,PlasticCycle,3213.5,San Francisco,No,2023-02-06
287,Hempcrete,148,PlasticCycle,359.06,Boston,No,2023-10-29
288,Rammed Earth,964,EcoCement Co.,3637.95,Miami,No,2023-03-05
289,Bamboo Fiber,725,NatureBricks,3133.02,Austin,No,2023-05-06
290,Straw Bale,942,GreenBuild Ltd.,3003.7,Denver,No,2023-03-24
291,Recycled Plastic,250,EarthInnovations,706.53,Miami,Yes,2023-01-08
292,Rammed Earth,728,PlasticCycle,1900.22,Denver,No,2023-03-25
293,Geopolymer,106,GreenBuild Ltd.,346.59,Los Angeles,No,2023-11-12
294,Straw Bale,122,GreenBuild Ltd.,583.14,Austin,Yes,2023-03-29
295,Bamboo Fiber,728,EcoCement Co.,2756.56,Los Angeles,Yes,2023-03-08
296,Straw Bale,898,GreenBuild Ltd.,3669.25,Chicago,No,2023-08-02
297,Hempcrete,960,PlasticCycle,3372.64,Denver,Yes,2023-07-10
298,Straw Bale,188,NatureBricks,887.26,Denver,Yes,2023-10-23
299,Bamboo Fiber,888,Sustainable Works,4054.65,New York,No,2023-02-17
300,Straw Bale,582,EcoCement Co.,2619.34,Miami,Yes,2023-06-04
301,Geopolymer,763,EcoCement Co.,2809.42,Miami,Yes,2023-10-09
302,Bamboo Fiber,592,PlasticCycle,1560.69,Los Angeles,No,2023-03-11
303,Straw Bale,480,EarthInnovations,1083.16,Boston,Yes,2023-02-25
304,Bamboo Fiber,531,NatureBricks,1730.56,Denver,No,2023-08-26
305,Bamboo Fiber,564,EarthInnovations,1331.1,Miami,Yes,2023-11-25
306,Rammed Earth,741,PlasticCycle,2353.43,San Francisco,No,2023-01-14
307,Rammed Earth,504,GreenBuild Ltd.,2189.71,Los Angeles,No,2023-07-16
308,Rammed Earth,578,PlasticCycle,1592.6,Seattle,No,2023-12-05
309,Recycled Plastic,565,NatureBricks,1171.21,Austin,Yes,2023-05-07
310,Rammed Earth,229,NatureBricks,790.83,Seattle,No,2023-05-24
311,Rammed Earth,155,EarthInnovations,645.35,San Francisco,No,2023-09-12
312,Bamboo Fiber,213,PlasticCycle,617.61,Austin,Yes,2023-10-17
313,Straw Bale,535,GreenBuild Ltd.,1714.12,Denver,No,2023-02-23
314,Straw Bale,993,EarthInnovations,4952.94,Boston,No,2023-03-25
315,Geopolymer,360,PlasticCycle,814.11,Chicago,Yes,2023-02-20
316,Rammed Earth,527,EcoCement Co.,2329.45,Miami,No,2023-01-16
317,Geopolymer,440,NatureBricks,1491.88,San Francisco,Yes,2023-05-03
318,Hempcrete,248,EarthInnovations,944.98,Austin,Yes,2023-01-08
319,Recycled Plastic,842,Sustainable Works,1916.77,Seattle,Yes,2023-03-23
320,Bamboo Fiber,791,EarthInnovations,3697.71,Denver,Yes,2023-06-18
321,Straw Bale,716,Sustainable Works,1487.61,Austin,Yes,2023-11-27
322,Hempcrete,459,GreenBuild Ltd.,2084.49,Los Angeles,Yes,2023-05-16
323,Geopolymer,337,GreenBuild Ltd.,1196.98,Seattle,No,2023-01-18
324,Geopolymer,872,PlasticCycle,2545.95,New York,Yes,2023-04-30
325,Bamboo Fiber,874,NatureBricks,3099.7,New York,Yes,2023-04-16
326,Straw Bale,708,Sustainable Works,1850.24,Chicago,No,2023-02-11
327,Rammed Earth,836,Sustainable Works,2464.6,Austin,Yes,2023-04-20
328,Hempcrete,617,EarthInnovations,2571.49,Boston,Yes,2023-10-19
329,Recycled Plastic,931,PlasticCycle,1989.99,Miami,Yes,2023-11-04
330,Rammed Earth,726,GreenBuild Ltd.,3117.57,San Francisco,No,2023-03-18
331,Geopolymer,611,GreenBuild Ltd.,1866.35,Miami,Yes,2023-12-01
332,Hempcrete,978,PlasticCycle,3031.17,Seattle,Yes,2023-05-20
333,Hempcrete,396,GreenBuild Ltd.,1853.55,Seattle,No,2023-02-28
334,Hempcrete,770,PlasticCycle,3814.82,Seattle,Yes,2023-09-02
335,Hempcrete,292,EarthInnovations,1282.98,Seattle,Yes,2023-04-25
336,Recycled Plastic,131,EarthInnovations,327.64,Houston,Yes,2023-05-10
337,Rammed Earth,495,Sustainable Works,1319.72,San Francisco,No,2023-08-05
338,Straw Bale,350,EarthInnovations,712.09,Miami,No,2023-04-29
339,Recycled Plastic,805,Sustainable Works,3162.91,Los Angeles,No,2023-08-30
340,Geopolymer,885,EcoCement Co.,4150.64,New York,No,2023-09-18
341,Recycled Plastic,399,EarthInnovations,1340.65,Denver,Yes,2023-09-30
342,Hempcrete,956,EarthInnovations,4286.22,San Francisco,Yes,2023-03-24
343,Bamboo Fiber,125,Sustainable Works,405.81,Austin,Yes,2023-04-08
344,Rammed Earth,237,NatureBricks,600.2,Chicago,Yes,2023-04-30
345,Straw Bale,246,NatureBricks,1090.72,Chicago,No,2023-07-23
346,Geopolymer,421,EcoCement Co.,1779.13,Miami,Yes,2023-11-02
347,Geopolymer,118,PlasticCycle,284.04,Austin,Yes,2023-05-09
348,Geopolymer,566,PlasticCycle,2779.04,Houston,No,2023-09-07
349,Recycled Plastic,184,GreenBuild Ltd.,442.62,Boston,No,2023-03-23
